ds,Niederschlag,Sonne_h,Temperatur_max,SoFe_SH,HeFe_SH,WiFe_SH,Kieler_Woche,karfreitag,ostermontag,himmelfahrt,pfingstmontag,tag_der_arbeit,einheitstag,heilig_abend,weihnachten,silvester,neujahr,day_before_irregular_holiday
2015-07-27,"21,8","0,6","18,2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28,"14,2","2,283",20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-29,"22,5","2,967","16,9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-30,"2,1",0,"14,5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-31,0,"4,367","17,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,0,"12,6","18,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-02,0,"12,833","22,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-03,0,"14,517","28,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,"4,1","8,05","29,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,0,"13,433","23,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,0,"12,883","30,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,"3,7","7,5","23,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-08,0,"2,7","20,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-09,0,"13,733","22,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,"11,5","5,567","24,3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,0,"7,217","25,3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,0,"4,333","20,2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,0,"13,9","21,8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,"0,4","9,867","25,8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-15,0,"3,25","22,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-16,9,"4,233","23,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,"3,3","0,067","20,3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,"0,3","0,017","20,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,0,6,"21,3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,0,"8,717","22,8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,0,"12,917","24,2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-22,0,"13,45","24,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-23,0,"13,217","22,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,0,"4,883","23,1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,"6,4","5,75","20,1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,3,"5,6","24,5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,"5,1","0,483",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-28,0,"7,867","20,8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-29,0,"7,867","21,9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-30,0,"4,367","20,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,"2,7","6,017","25,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,"0,1","19,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-02,0,"6,483","18,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,0,"9,767","19,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,"1,3","3,4","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-05,5,"4,967","16,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-06,0,"7,067","18,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,0,"12,283","18,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,0,"9,983","18,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-09,0,"10,533","17,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-10,0,"9,883","19,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-11,"1,6","0,517","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-12,"7,3",6,"19,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-13,"4,3","1,283","20,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-14,"21,8",3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,10,"6,7","16,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-16,2,"0,083","17,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-17,"4,3","0,9",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-18,0,"4,683","18,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
